category,text
business,disney settles disclosure charges walt disney has settled charges from us federal regulators that it failed to disclose how family members of directors were employed by the company.  the media giant was not fined by the securities and exchange commission  but has agreed to refrain from any future violations of securities law. disney failed to tell investors that between 1999 and 2001 it employed three adult children of three then directors. the firm has neither admitted nor denied wrongdoing in the settlement.  the three disney directors in question in the central matter of the sec s investigation - reveta bowers  stanley gold and raymond watson - have all since left the company  with ms bowers and mr watson both retiring  and mr gold quitting in 2003. their children were paid between $60 000 (£30 800) and $150 000 a year  with shareholders not being informed. the sec also found that disney did not disclose that a 50% disney-owned subsidiary company - lifetime - employed the wife of current disney director john bryson  and that she earned more than $1m a year. louise bryson remains with lifetime.  disney also failed to disclose payments to air shamrock  an airline owned by mr gold and fellow former disney directors roy disney. finally  disney also did not reveal that it provided more than $200 000 annually for office space  secretarial services  and a leased car and driver to former director thomas murphy.  shareholders have a significant interest in information regarding relationships between the company and its directors   said sec deputy enforcement director linda thomsen.  failure to comply with the sec s disclosure rules in this area impedes shareholders  ability to evaluate the objectivity and independence of directors.
tech,microsoft seeking spyware trojan microsoft is investigating a trojan program that attempts to switch off the firm s anti-spyware software.  the spyware tool was only released by microsoft in the last few weeks and has been downloaded by six million people. stephen toulouse  a security manager at microsoft  said the malicious program was called bankash-a trojan and was being sent as an e-mail attachment. microsoft said it did not believe the program was widespread and recommended users to use an anti-virus program. the program attempts to disable or delete microsoft s anti-spyware tool and suppress warning messages given to users.  it may also try to steal online banking passwords or other personal information by tracking users  keystrokes.  microsoft said in a statement it is investigating what it called a criminal attack on its software. earlier this week  microsoft said it would buy anti-virus software maker sybari software to improve its security in its windows and e-mail software. microsoft has said it plans to offer its own paid-for anti-virus software but it has not yet set a date for its release. the anti-spyware program being targeted is currently only in beta form and aims to help users find and remove spyware - programs which monitor internet use  causes advert pop-ups and slow a pc s performance.
entertainment,csi shows give  unrealistic view  people have unrealistic expectations of forensic science thanks to the success of the csi tv shows  real experts say.  evidence submitted to forensic labs has shot up as a result of the programmes  at a time when many have large backlogs  science investigators claim. lawyers also fear the effect because jurors have a distorted view of how forensic evidence is used. the issue was discussed at a major science conference in washington dc. crime scene investigation (csi) and its spin-offs  csi: miami and csi: new york  have proven exceptionally popular with audiences on both sides of the atlantic.  each episode  a team of forensic investigators goes about solving a crime through the ingenious appliance of science - and the extensive resources at their disposal.  the csi effect is basically the perception of the near-infallibility of forensic science in response to the tv show   said max houck  who runs a forensic science graduate course at west virginia university  us.  this tv show comes on and everyone starts watching it - including the cops and prosecutors - and submissions to forensic laboratories go through the roof   he told the annual meeting of the american association for the advancement of science (aaas). the american forensics expert said there were roughly 200 000-300 000 backlogged dna samples in us labs. yet these constituted just 10% of the total test backlog  said dr houck. forensic pathologist dr patricia mcfeeley said she had started to see the show s influence in dealing with the families of victims.  what i find is that families now are more dissatisfied with the investigation than was previously the case   she explained.  for example  on television  the toxicology results are available almost instantaneously. but when people find out that it can take several months  they can find that very difficult.   dr mcfeeley added that the accuracy with which forensic investigators can determine time of death was far lower than most people s perceptions. the show s influence can follow forensic investigators all the way into the courtroom  making lawyers jittery.  prosecutors fear the csi effect with juries because  for example  they wonder:  why wasn t everything tested   well  in fact  not everything needs to be tested   dr houck explained.  defence attorneys also worry about the csi effect because they think that jurors come in and have this view of science as a juggernaut; this objective method that s always accurate.  however  he admitted the show had had positive as well as negative effects on the field.  my university course started with four graduates in 1999; we re now the largest major on campus - with 400 students   he said. dr houck added that there was an urgent need for better funding of forensic science at the university level:  there s more money spent in this country on holistic medicine than there is on forensic science research.
sport,israeli club look to africa four african players  including zimbabwe goalkeeper energy murambadoro  are all ready to play for israeli club hapoel bnei sakhnin in the uefa cup.  bnei sakhnin are the first arab side ever to play in european competition and will play english premiership side newcastle united in the first round. warriors  goalkeeper murambadoro  who made a name for himself at the african nations cup finals in tunisia  helped bnei sakhnin overcome albania s partizani tirana 6-1 in the previous round. murambadoro moved to israel recently after a brief stint with south african club hellenic. the club won the israeli cup final last season and are based in sakhnin  which is near haifa. the club have a strong ethic and are high profile promoters of peace and co-operation within israel. the three other africans at the club are former cameroon defender ernest etchi  dr congo s alain masudi and nigerian midfielder edith agoye  who had a stint with tunisian side esperance.
sport,moyes u-turn on beattie dismissal everton manager david moyes will discipline striker james beattie after all for his headbutt on chelsea defender william gallas.  the scot initially defended beattie  whose dismissal put everton on the back foot in a game they ultimately lost 1-0  saying gallas overreacted. but he has had a rethink after looking over the video evidence again. he said:  i believe that i should set the record straight by conceding that the dismissal was right and correct.  moyes added:  my comments on saturday came immediately after the final whistle and at a point when i had only had the opportunity to see one  very quick re-run of the incident.   the club website also reported that beattie  who seemed unrepentant after saturday s match  insisting gallas  would have stayed down a lot longer  if he had headbutted him  has now apologised. moyes continued:  although the incident was totally out of character - james has never even been suspended before in his career - his actions were unacceptable and had a detrimental effect on his team-mates.  james did issue a formal apology to myself  his team-mates and to the everton supporters immediately after the game and that was the right thing to have done. he will now be subjected to the normal club discipline.  he is a competitive player but a fair player and i know how upset he is by what has happened. however  i must say that i do still believe the chelsea player in question did go down too easily.  speaking immediately after the game  moyes said:  i don t think it was a sending-off  i have been a centre-half in my time and i would have been ashamed to have gone down as easily as that.   not in a million years would john terry have gone down in the same way. i have never heard of anybody butting somebody from behind while you are running after them.  what has happened to big  strong centre-halves  i thought it was a push initially and i still don t think it was a sending-off.  an angry beattie initially said:  he (gallas) would have stayed down a lot longer if i had headbutted him.  i can tell you it wasn t an intentional headbutt. we were chasing a ball into the corner and william gallas was looking over his shoulder and blocking me off.  he was stopping as we were running and i said to myself  if you re going to stay in my way i ll go straight over you . our heads barely touched and it wasn t an intentional headbutt.
tech,bt program to beat dialler scams bt is introducing two initiatives to help beat rogue dialler scams  which can cost dial-up net users thousands.  from may  dial-up net users will be able to download free software to stop computers using numbers not on a user s  pre-approved list . inadvertently downloaded by surfers  rogue diallers are programs which hijack modems and dial up a premium rate number when users log on. thousands of uk dial-up users are believed to have been hit by the scam. some people have faced phone bills of up to £2 000. bt s modem protection program will check numbers that are dialled by a computer and will block them if they have not been pre-approved  such as national and net service provider numbers. icstis  the uk s premium rate services watchdog  said it had been looking for companies to take the lead in initiatives.  the initiatives are very welcome   a spokesperson from icstis told the bbc news website.  we are very pleased to see they are putting into place new measures to protect consumers.   the second initiative bt announced is an early warning system which will alert bt customers if there is unusual activity on their phone bills. if a bill rises substantially above its usual daily average  or if a call is made to a suspect number  a text or voice alert will be sent to the user s landline phone. as part of the clamp-down on rogue diallers  companies must now satisfy stringent conditions  including clear terms and conditions  information about how to delete diallers and responsibility for customer refunds. any firm running a dialler without permission can now be closed down by icstis. the watchdog brought in the action last october following a decision to license all companies which wanted to operate legitimate premium rate dialler services.  there are legitimate companies who offer services such as adult content  sports results and music downloads by charging a premium rate rather than by credit card bt said it had ploughed an enormous amount of effort into protecting people from the problem. it has already barred more than 1 000 premium rate numbers and has tried to raise public awareness about the scams.  we now want to ensure there are even stronger safeguards for our customers  who we would urge to make use of these new options to protect themselves   said gavin patterson  group managing director for consumer the arm of bt. both schemes have been undergoing trials in ireland  and will be made available to 20 million bt customers from may.
business,cactus diet deal for phytopharm a slimming aid made from a southern african cactus is set to be developed by uk firm phytopharm and unilever.  anglo-dutch food giant unilever will help the pharmaceutical firm develop the snacks containing hoodia extract. phytopharm shares jumped 10.7% on the news  with analysts saying sales of $600m (£309m) a year were possible. the plant  licensed to phytopharm in 1997  has been used for thousands of years by the sans bushmen of the kalahari desert to stave off hunger. studies have reportedly shown the plant curbs appetite instead of reducing calorific intake like many existing products.  phytopharm will receive an initial fee of £6.5m from unilever - out of a potential total of £21m - as well as future royalties on product sales. under the deal  production of the hoodia cactus at phytopharm s nursery in south africa will also rise from eight million plants to potentially hundreds of millions  said phytopharm chief executive richard dixey. the firm had initially hoped to market a slimming drug from hoodia with pfizer. but the research collaboration came to an end in 2003. analysts said unilever could launch the new products in 2007.  this deal goes a long way to restoring the market faith in phytopharm s pipeline after the pfizer exit   said analyst erling refsum at nomura.
sport,relay squad thrilled with honours jason gardener says being made an mbe in the new year honours list underlines the achievement of great britain s 4x100m relay squad at the olympics.  gardener  darren campbell  marlon devonish and mark lewis-francis have all been awarded mbes after beating pre-race favourites usa to gold.  i think this award reinforces what we did on that fantastic night   he said.  this recognition is really inspiring and makes me want to have more success   said lewis-francis. the british sprint quartet produced a string of faultless baton changes in the final to put pressure on the americans.  and when the usa stumbled with a poor switch between justin gatlin and coby miller at the 300m stage  britain edged ahead going into the final bend. then  on cue  lewis-francis ran a textbook final leg  holding off maurice greene to bring team gb home in 38.07 seconds - just one hundredth of a second ahead of their rivals.  winning the gold medal was the highlight of my athletics career so far   said the birchfield harrier.  this award is not just for me  but for all my friends  family and the people who have helped me to get to this level in my sport.  gardener added:  all of us had worked very hard for a long  long time to carry off what most believed was an impossible task.  of course this award is very special  but for me nothing will ever take away winning an olympic gold medal. it s all i ever wanted.  all my life that is what i dreamed of doing. life since then has been fantastic.  campbell agreed receiving the honour capped off what has been a difficult year for the sprinter.  i think the mbe is important because the people closest to me know my journey   said the newport-based athlete.  i ve not just stumbled upon this.  it gives me a lot of joy and satisfaction to know the stuff you do for your country does mean something.   - there was also recognition for james clarke  chairman of the london marathon. he becomes an obe.
entertainment,u2 stars enter rock hall of fame singer bruce springsteen has inducted irish rock band u2 into the rock and roll hall of fame  in new york.  the lavish ceremony  celebrating the 50th anniversary of rock  n  roll  also saw the induction of the pretenders  percy sledge  the o jays and buddy guy.  this was a band that wanted to lay claim to this world and the next one  too   said springsteen. bono  the edge  adam clayton and larry mullen jr  who formed u2 at school in 1977  begin a world tour on 28 march. introducing the band  springsteen mocked bono as the man who  single-handedly pioneered the irish mullet   poking fun at  one of the best and most endearingly messianic complexes in rock  n  roll . but he also spoke of the group s enduring stature  adding that it was the only band of the last 20 years where he knew all four members  names.  u2 s contemporaries  the pretenders  led by chrissie hynde - took to the stage to perform my city was gone with inductee neil young.  we are a tribute band   said hynde  53.  we re paying tribute to james honeyman-scott and pete farndon  without whom we would not have been here   she said  referring to the premature deaths of two of the band s guitarists from drug overdoses.  britain s rod stewart introduced percy sledge  citing his best-known hit when a man loves a woman as  one of the best performances i ve ever heard . justin timberlake introduced soul group the o jays  a gospel-style quartet from ohio  who performed a medley of their best-known songs including back stabbers  love train and for the love of money.  anyone who s ever written  produced or performed something soulful stands in the shadows of these giants   said timberlake.  joining the ceremony at new york s waldorf astoria were legendary r&b star bo diddley  who performed with eric clapton and robbie robertson.  clapton  alongside bb king  also introduced fellow guitarist buddy guy and recalled seeing him play as a teenager in england.  he was for me what elvis was probably like for other people   he said.  my course was set and he was my pilot   said clapton who joined guy and king in a performance of let me love you baby. also performing at the ceremony was veteran musician jerry lee lewis who continued his reputation as a rowdy piano-pounder despite his 69 years  kicking over his stool and sitting on the piano during a rendition of whole lotta shakin  goin  on.
tech,movie body targets children s pcs the body that represents the us movie industry has released its latest tool in its campaign to clamp down on movie file-sharing  aimed at parents.  the movie association for america s (mpaa) free parent file scan software lets parents check their children s computers for peer-to-peer programs. it will also list all movie and music files they have on their hard drive. parents then have the choice to remove programs and files. the mpaa said files found would not be passed on to it.  our ultimate goal is to help consumers locate the resources and information they need to make appropriate decisions about using and trading illegal files   said dan glickman  mpaa chief.  many parents are concerned about what their children have downloaded and where they ve downloaded it from.   but some computer users who had tested the latest software reported on some technology sites that the program had identified windows default wav files as copyrighted material and wanted to delete them. movie piracy cost the industry £3.7bn ($7bn) in 2003  according to analysts. the mpaa said in a statement that it would continue to provide easy access to similar tools in the coming months to combat  the deleterious effects of peer-to-peer software  including such common problems as viruses  trojan horses and identity theft .  mr glickman said that the film industry was embracing  digital age technologies   like movielink and cinemanow  which are legal movie sites.  but legal services such as these need a chance to grow and thrive without having to compete against illegitimate operations that depend on stolen property to survive   he added. the industry body also said it had launched a second round of legal action against online movie-swappers across the us  but did not say how many were being sued. its first set of lawsuits were filed in november 2004. it also started a campaign against operators of bittorrent  edonkey and directconnect peer-to-peer networks. the first convictions for peer-to-peer piracy were handed out in the us in january. william trowbridge and michael chicoine pleaded guilty to charges that they infringed copyright by illegally sharing music  movies and software.
sport,redknapp poised for saints southampton are set to unveil harry redknapp as their new manager at a news conference at 1500 gmt on wednesday.  the former portsmouth boss replaces steve wigley  who has been relieved of first-team duties after just one win in 14 league games in charge. redknapp  57  quit his fratton park position on 24 november and vowed:  i will not go down the road - no chance.  pompey coach kevin bond is poised to join redknapp  who will be saints  third boss of the season. redknapp s first game in charge will be at home to middlesbrough on saturday. portsmouth chairman milan mandaric said he was  disappointed  by the news and claimed redknapp had been in talks with southampton for  some time .   it would appear that negotiations over this have been going on for some time   mandaric said on portsmouth s official website.  i am surprised and a little shocked that the chairman of southampton has not picked up the phone and kept me informed.  according to mandaric  redknapp vowed he would not join their south coast rivals when he left portsmouth.  i said to harry  i hope you don t go to southampton   and he told me  absolutely not    he said.  i m wouldn t say i m bitter  disgusted or angry  just disappointed  but it s harry s life and it s his decision.  redknapp became a cult hero after leading portsmouth into the premiership for the first time  and then masterminding their survival in their debut season. but he left the club claiming he needed a break from football  though many believed he was upset with mandaric s decision to bring in velimir zajec as executive director.  southampton chairman rupert lowe was desperate to give former academy director wigley  who replaced paul sturrock just two games into the season  every chance to succeed at st mary s. but results under wigley have been poor and southampton are deep in trouble near the foot of the table. when redknapp s appointment is confirmed  he will be saints  ninth manager in eight years.
